start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend    | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                |   batch_size |   dropout |   vsplit | embedding                                     |   embedding2 |   rich |   runtime | argv                                                                                                                                                                                                                                                                              |
| ('2018-01-29_17-23-09-600111', 2)  |      0.684 |     0.715 |       7 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh             |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   410.728 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']                  |
| ('2018-01-29_17-43-00-626157', 6)  |      0.684 |     0.682 |      10 | tensorflow | LSTM_05add   |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error  |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_300_lc_wiki |          nan |      3 |   903.663 | ['--system', 'hpc', '--classifier', 'LSTM_05add', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_wiki_i20_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']  |
| ('2018-01-29_17-43-00-626157', 8)  |      0.684 |     0.682 |       9 | tensorflow | LSTM_05add   |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error  |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_300_lc_wiki |          nan |      3 |   855.294 | ['--system', 'hpc', '--classifier', 'LSTM_05add', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_wiki_i20_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']  |
| ('2018-01-29_17-43-00-603894', 4)  |      0.684 |     0.669 |      12 | tensorflow | LSTM_05conc  |              100 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error  |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_100_lc_wiki |          nan |      3 |   826.304 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_wiki_i20_100_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32'] |
| ('2018-01-29_17-43-00-620883', 10) |      0.684 |     0.645 |      17 | tensorflow | LSTM_01      |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_300_lc_wiki |          nan |      3 |   420.073 | ['--system', 'hpc', '--embedding', 'ce_wiki_i20_300_lc']                                                                                                                                                                                                                          |
| ('2018-01-29_17-43-00-199606', 2)  |      0.680 |     0.719 |      12 | tensorflow | LSTM_01      |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   256.755 | ['--system', 'hpc', '--embedding', 'ce_sg_300_lc']                                                                                                                                                                                                                                |
| ('2018-01-29_17-43-00-603894', 5)  |      0.680 |     0.674 |       8 | tensorflow | LSTM_05conc  |              100 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error  |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_100_lc_wiki |          nan |      3 |   573.264 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_wiki_i20_100_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32'] |
| ('2018-01-29_17-23-09-600022', 2)  |      0.680 |     0.661 |      15 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error  |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |  1533.135 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']       |
| ('2018-01-29_17-43-00-608642', 2)  |      0.680 |     0.645 |      14 | tensorflow | LSTM_05conc  |              100 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh             |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_100_lc_wiki |          nan |      3 |   595.229 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_wiki_i20_100_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']            |
| ('2018-01-29_17-43-00-922076', 7)  |      0.680 |     0.657 |      12 | tensorflow | LSTM_05add   |              100 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh             |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_100_lc_wiki |          nan |      3 |   509.380 | ['--system', 'hpc', '--classifier', 'LSTM_05add', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_wiki_i20_100_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']             |
| ('2018-01-29_17-43-00-922076', 8)  |      0.680 |     0.686 |       5 | tensorflow | LSTM_05add   |              100 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh             |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_100_lc_wiki |          nan |      3 |   260.630 | ['--system', 'hpc', '--classifier', 'LSTM_05add', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_wiki_i20_100_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']             |
| ('2018-01-29_17-23-09-599869', 5)  |      0.680 |     0.632 |      11 | tensorflow | ATT_LSTM_03  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error  |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   784.421 | ['--system', 'hpc', '--classifier', 'ATT_LSTM_03', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']       |
| ('2018-01-29_17-43-00-922076', 9)  |      0.680 |     0.649 |      13 | tensorflow | LSTM_05add   |              100 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh             |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_100_lc_wiki |          nan |      3 |   554.672 | ['--system', 'hpc', '--classifier', 'LSTM_05add', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_wiki_i20_100_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']             |
| ('2018-01-29_17-43-00-635536', 8)  |      0.680 |     0.674 |      11 | tensorflow | LSTM_05add   |              100 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error  |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_100_lc_wiki |          nan |      3 |   671.391 | ['--system', 'hpc', '--classifier', 'LSTM_05add', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_wiki_i20_100_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']  |
| ('2018-01-29_17-43-00-623934', 9)  |      0.680 |     0.702 |      12 | tensorflow | LSTM_01      |              100 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_100_lc_wiki |          nan |      3 |   256.552 | ['--system', 'hpc', '--embedding', 'ce_wiki_i20_100_lc']                                                                                                                                                                                                                          |
