/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend    | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                    |   embedding2 |   rich |   runtime | argv                                                                                                                      |
| ('2018-01-22_13-59-43-430267', 2)  |      0.690 |     0.715 |      11 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | mean_squared_error             |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   369.790 | ['--runs', '10', '--classifier', 'LSTM_05add', '--loss', 'mean_squared_error', '--emb_dir', '../embeddings/']             |
| ('2018-01-22_21-08-58-138785', 8)  |      0.690 |     0.694 |      15 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | rmsprop     | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   492.157 | ['--runs', '10', '--classifier', 'LSTM_05add', '--optimizer', 'rmsprop', '--emb_dir', '../embeddings/']                   |
| ('2018-01-22_21-08-58-098235', 4)  |      0.690 |     0.669 |      19 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |          512 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   587.748 | ['--runs', '10', '--classifier', 'LSTM_05add', '--batch_size', '512', '--emb_dir', '../embeddings/']                      |
| ('2018-01-22_22-08-10-705231', 10) |      0.690 |     0.694 |       8 | tensorflow | LSTM_05add   |              300 |       100 |          64 | sigmoid       | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   332.925 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'sigmoid', '--emb_dir', '../embeddings/']                 |
| ('2018-01-22_13-59-29-069322', 5)  |      0.690 |     0.678 |      17 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           64 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   463.818 | ['--runs', '10', '--classifier', 'LSTM_05add', '--batch_size', '64', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_14-45-59-080584', 6)  |      0.690 |     0.640 |      19 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.500 | embeddings_cache_file_word2vec               |          nan |      3 |   433.697 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.5', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_21-08-57-347791', 8)  |      0.690 |     0.661 |      11 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | logcosh                        |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   402.707 | ['--runs', '10', '--classifier', 'LSTM_05add', '--loss', 'logcosh', '--emb_dir', '../embeddings/']                        |
| ('2018-01-22_22-20-21-375532', 6)  |      0.690 |     0.655 |      15 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.400 | embeddings_cache_file_word2vec               |          nan |      3 |   384.832 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.4', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_21-51-34-190642', 10) |      0.687 |     0.678 |       9 | tensorflow | LSTM_05add   |              300 |       100 |          64 | selu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   361.743 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'selu', '--emb_dir', '../embeddings/']                    |
| ('2018-01-22_14-37-56-585704', 4)  |      0.687 |     0.692 |      11 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.200 | embeddings_cache_file_word2vec               |          nan |      3 |   572.630 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.2', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_21-08-58-176268', 4)  |      0.687 |     0.653 |      15 | tensorflow | LSTM_05add   |              300 |        25 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   178.375 | ['--runs', '10', '--classifier', 'LSTM_05add', '--padding', '25', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_21-08-57-811722', 1)  |      0.687 |     0.702 |      19 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adamax      | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   562.255 | ['--runs', '10', '--classifier', 'LSTM_05add', '--optimizer', 'adamax', '--emb_dir', '../embeddings/']                    |
| ('2018-01-22_22-20-21-375532', 10) |      0.687 |     0.650 |      13 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.400 | embeddings_cache_file_word2vec               |          nan |      3 |   380.850 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.4', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_22-20-43-038109', 1)  |      0.687 |     0.647 |      15 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.450 | embeddings_cache_file_word2vec               |          nan |      3 |   335.416 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.45', '--emb_dir', '../embeddings/']                         |
