start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend    | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss               |   batch_size |   dropout |   vsplit | embedding                  |   embedding2 |   rich |   runtime | argv                                                                                                                                                                                                                                                                         |
| ('2018-01-29_17-12-11-885760', 4)  |      0.687 |     0.705 |      11 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           64 |     0.800 |    0.200 | custom_embedding_sg_300_lc |          nan |      3 |  1114.997 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.2', '--batch_size', '64']  |
| ('2018-01-29_17-12-09-512678', 8)  |      0.687 |     0.744 |       9 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           64 |     0.800 |    0.050 | custom_embedding_sg_300_lc |          nan |      3 |   690.584 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.05', '--batch_size', '64']            |
| ('2018-01-29_17-12-09-575680', 2)  |      0.684 |     0.705 |      11 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           32 |     0.800 |    0.200 | custom_embedding_sg_300_lc |          nan |      3 |   595.429 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.2', '--batch_size', '32']             |
| ('2018-01-29_17-12-09-401218', 10) |      0.684 |     0.670 |      13 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           64 |     0.900 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |  1169.251 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.4', '--batch_size', '64']  |
| ('2018-01-29_17-12-09-719562', 9)  |      0.684 |     0.686 |      14 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           64 |     0.900 |    0.050 | custom_embedding_sg_300_lc |          nan |      3 |  1568.882 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.05', '--batch_size', '64'] |
| ('2018-01-29_17-12-09-576396', 5)  |      0.684 |     0.682 |       8 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           32 |     0.800 |    0.100 | custom_embedding_sg_300_lc |          nan |      3 |   733.533 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.1', '--batch_size', '32']  |
| ('2018-01-29_17-12-15-282216', 1)  |      0.684 |     0.647 |      14 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           32 |     0.900 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |   958.414 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.4', '--batch_size', '32']  |
| ('2018-01-29_17-12-15-282216', 5)  |      0.684 |     0.665 |      15 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           32 |     0.900 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |  1057.550 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.4', '--batch_size', '32']  |
| ('2018-01-29_17-12-15-282018', 10) |      0.684 |     0.661 |      12 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           32 |     0.900 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |   609.920 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.4', '--batch_size', '32']             |
| ('2018-01-29_17-12-15-282216', 8)  |      0.684 |     0.652 |       9 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           32 |     0.900 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |   686.996 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.4', '--batch_size', '32']  |
| ('2018-01-29_17-12-09-382740', 9)  |      0.684 |     0.674 |      13 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           32 |     0.900 |    0.200 | custom_embedding_sg_300_lc |          nan |      3 |   724.119 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.2', '--batch_size', '32']             |
| ('2018-01-29_17-12-15-282216', 6)  |      0.684 |     0.656 |      12 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           32 |     0.900 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |   868.184 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.4', '--batch_size', '32']  |
| ('2018-01-29_17-12-09-546996', 5)  |      0.684 |     0.657 |      10 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           32 |     0.800 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |   702.988 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.4', '--batch_size', '32']  |
| ('2018-01-29_17-12-09-666302', 8)  |      0.684 |     0.686 |      10 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc |          nan |      3 |  1050.555 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']  |
| ('2018-01-29_17-12-09-570587', 7)  |      0.684 |     0.678 |      14 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           32 |     0.900 |    0.050 | custom_embedding_sg_300_lc |          nan |      3 |   813.111 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.05', '--batch_size', '32']            |
