/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend   | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                    |   embedding2 |   rich |   runtime | argv                                                                                                                      |
| ('2018-01-22_16-51-30-893897', 1)  |      0.674 |     0.678 |      17 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_dict2vec_prov_freq_lc  |          nan |      3 |  4218.345 | ['--runs', '10', '--classifier', 'LSTM_05add', '--embedding', 'd2v_pf_lc', '--emb_dir', '../embeddings/']                 |
| ('2018-01-22_16-51-29-677410', 1)  |      0.674 |     0.649 |       6 | theano    | LSTM_05add   |              300 |       100 |         256 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  6145.432 | ['--runs', '10', '--classifier', 'LSTM_05add', '--lstm_size', '256', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_16-51-30-982684', 1)  |      0.674 |     0.715 |       9 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | nadam       | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  3406.649 | ['--runs', '10', '--classifier', 'LSTM_05add', '--optimizer', 'nadam', '--emb_dir', '../embeddings/']                     |
| ('2018-01-22_16-51-29-641739', 3)  |      0.671 |     0.640 |      13 | theano    | LSTM_05add   |              300 |       100 |          64 | linear        | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2177.977 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'linear', '--emb_dir', '../embeddings/']                  |
| ('2018-01-22_16-51-29-718517', 3)  |      0.671 |     0.682 |      12 | theano    | LSTM_05add   |              300 |       100 |          64 | softplus      | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2053.876 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'softplus', '--emb_dir', '../embeddings/']                |
| ('2018-01-22_16-51-29-371116', 3)  |      0.671 |     0.661 |      15 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      1 |  2493.109 | ['--runs', '10', '--classifier', 'LSTM_05add', '--rich', '1', '--emb_dir', '../embeddings/']                              |
| ('2018-01-22_16-51-29-136994', 2)  |      0.671 |     0.661 |      12 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | rmsprop     | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2033.621 | ['--runs', '10', '--classifier', 'LSTM_05add', '--optimizer', 'rmsprop', '--emb_dir', '../embeddings/']                   |
| ('2018-01-22_16-50-24-468682', 3)  |      0.671 |     0.702 |      13 | theano    | LSTM_05add   |              300 |       100 |          16 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1147.903 | ['--runs', '10', '--classifier', 'LSTM_05add', '--lstm_size', '16', '--emb_dir', '../embeddings/']                        |
| ('2018-01-22_16-51-29-919689', 1)  |      0.668 |     0.686 |      10 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.200 | embeddings_cache_file_word2vec               |          nan |      3 |  3146.993 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.2', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_16-51-29-792563', 4)  |      0.668 |     0.686 |      11 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | mean_squared_logarithmic_error |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1889.462 | ['--runs', '10', '--classifier', 'LSTM_05add', '--loss', 'mean_squared_logarithmic_error', '--emb_dir', '../embeddings/'] |
| ('2018-01-22_16-51-29-919689', 2)  |      0.668 |     0.690 |      12 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.200 | embeddings_cache_file_word2vec               |          nan |      3 |  1902.662 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.2', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_16-51-28-816656', 2)  |      0.668 |     0.669 |       7 | theano    | LSTM_05add   |              300 |       100 |          64 | elu           | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1306.541 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'elu', '--emb_dir', '../embeddings/']                     |
| ('2018-01-22_16-51-29-792563', 2)  |      0.668 |     0.682 |       9 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | mean_squared_logarithmic_error |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1609.692 | ['--runs', '10', '--classifier', 'LSTM_05add', '--loss', 'mean_squared_logarithmic_error', '--emb_dir', '../embeddings/'] |
| ('2018-01-22_16-51-30-024920', 2)  |      0.668 |     0.629 |      19 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.650 | embeddings_cache_file_word2vec               |          nan |      3 |  1782.864 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.65', '--emb_dir', '../embeddings/']                         |
