/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend    | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                    |   embedding2 |   rich |   runtime | argv                                                                                                                       |
| ('2018-01-22_17-46-30-145146', 8)  |      0.687 |     0.669 |      14 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adamax      | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   497.996 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'adamax', '--emb_dir', '../embeddings/']                    |
| ('2018-01-22_17-00-24-451343', 7)  |      0.687 |     0.707 |      13 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           64 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   416.811 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--batch_size', '64', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_17-10-42-720770', 8)  |      0.687 |     0.661 |      12 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | rmsprop     | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   421.698 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'rmsprop', '--emb_dir', '../embeddings/']                   |
| ('2018-01-22_16-58-52-544438', 1)  |      0.687 |     0.645 |      11 | tensorflow | LSTM_05conc  |              300 |        25 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   173.465 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--padding', '25', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_18-34-38-836631', 4)  |      0.687 |     0.657 |      15 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   505.079 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--loss', 'binary_crossentropy', '--emb_dir', '../embeddings/']            |
| ('2018-01-22_16-58-54-202528', 7)  |      0.687 |     0.702 |      12 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   456.779 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--lstm_size', '64', '--emb_dir', '../embeddings/']                        |
| ('2018-01-22_18-50-20-164471', 2)  |      0.687 |     0.669 |       9 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | softplus      | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   298.137 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--activation1', 'softplus', '--emb_dir', '../embeddings/']                |
| ('2018-01-22_17-10-42-720770', 10) |      0.684 |     0.678 |      13 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | rmsprop     | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   486.047 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'rmsprop', '--emb_dir', '../embeddings/']                   |
| ('2018-01-22_16-58-54-203166', 2)  |      0.684 |     0.686 |       9 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |            8 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   921.150 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--batch_size', '8', '--emb_dir', '../embeddings/']                        |
| ('2018-01-22_17-10-42-720770', 3)  |      0.684 |     0.690 |      16 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | rmsprop     | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   531.335 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'rmsprop', '--emb_dir', '../embeddings/']                   |
| ('2018-01-22_16-58-52-621441', 2)  |      0.684 |     0.690 |       4 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.100 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   155.295 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--dropout', '0.1', '--emb_dir', '../embeddings/']                         |
