/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                   |   pred_acc |   val_acc |   epoch | backend    | classifier     |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                     |   embedding2 |   rich |   runtime | argv                                                                                                                                                                                                                                             |
| ('2018-01-09_20-06-37-634172', 3) |      0.680 |     0.649 |       9 | tensorflow | ATT_LSTM_03d   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   844.754 | ['--patience', '5', '--classifier', 'ATT_LSTM_03d']                                                                                                                                                                                              |
| ('2018-01-09_19-44-16-723920', 3) |      0.680 |     0.645 |      12 | tensorflow | ATT_LSTM_03    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   428.473 | ['--patience', '5', '--classifier', 'ATT_LSTM_03']                                                                                                                                                                                               |
| ('2018-01-10_21-21-59-946390', 2) |      0.680 |     0.657 |       8 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   212.510 | []                                                                                                                                                                                                                                               |
| ('2018-01-23_20-07-29-536655', 3) |      0.680 |     0.674 |      14 | theano     | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   561.581 | ['--embedding', 'ce_sg_300_lc']                                                                                                                                                                                                                  |
| ('2018-01-25_01-35-04-052470', 2) |      0.680 |     0.702 |      12 | tensorflow | LSTM_05conc    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter05_sg_300_lc_wiki |          nan |      3 |   494.107 | ['--embedding', 'ce_wiki_lc', '--classifier', 'LSTM_05conc']                                                                                                                                                                                     |
| ('2018-01-09_20-04-37-841751', 2) |      0.680 |     0.640 |       9 | tensorflow | ATT_LSTM_03b   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   714.323 | ['--patience', '5', '--classifier', 'ATT_LSTM_03b']                                                                                                                                                                                              |
| ('2018-01-08_13-05-02-956576', 3) |      0.677 |     0.678 |       7 | tensorflow | LSTM_02        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   484.266 | ['--classifier', 'LSTM_02']                                                                                                                                                                                                                      |
| ('2018-01-07_23-33-47-416897', 3) |      0.677 |     0.665 |       5 | tensorflow | LSTM_04        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   315.692 | ['--classifier', 'LSTM_04']                                                                                                                                                                                                                      |
| ('2018-01-09_20-06-55-833929', 2) |      0.677 |     0.645 |       9 | tensorflow | ATT_LSTM_03c   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   717.759 | ['--patience', '5', '--classifier', 'ATT_LSTM_03c']                                                                                                                                                                                              |
| ('2018-01-06_23-46-12-836283', 3) |      0.677 |     0.653 |       7 | tensorflow | LSTM_01        |              300 |        47 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.400 | embeddings_cache_file_word2vec                |          nan |      3 |   156.553 | ['--padding', '47', '--runs', '5', '--vsplit', '0.4']                                                                                                                                                                                            |
